LAKE_ID,Open Water,Developed Open Space,Developed Low Intensity,Developed Medium Intensity,Developed High Intensity,Barren Land,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrub/Scrub,Herbaceous,Hay/Pasture,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetlands
0101DEL0025,4500,1792800,2742300,1706400,769500,10800,59400,0,18900,21600,26100,63900,10800,121500,27000
0101HYDXXX1,117900,762300,393300,182700,58500,11700,240300,0,3600,18000,36900,270000,590400,847800,225000
0101UWB5007,45000,55800,16200,30600,16200,0,2700,0,0,0,0,0,0,53100,4500
0101UWB5008,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0
0101UWB5014,8100,900,0,0,0,0,0,0,0,0,0,3600,0,2700,4500
0101UWB5037,0,8100,1800,3600,0,0,0,0,0,0,0,0,0,0,0
0101UWB5038,0,900,900,0,0,0,0,0,0,0,0,0,0,0,0
0101UWB5150,0,27000,11700,17100,8100,0,84600,0,0,0,0,45900,38700,68400,3600
0102AKR0013,187200,56700,7200,900,0,0,897300,43200,261000,2700,900,312300,34200,347400,32400
0102ATT0020,762300,200700,37800,7200,900,0,1880100,288000,838800,43200,6300,361800,558000,415800,90000
0102ATT0020A,720000,20700,5400,0,0,0,429300,68400,132300,7200,3600,156600,59400,220500,40500
0102DAR5129,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0102DIV0015,27900,0,0,0,0,900,27000,0,7200,0,900,0,19800,0,0
0102FAU0021A,184500,73800,9000,2700,0,0,198900,13500,43200,900,3600,15300,18000,63900,12600
0102GOU0016E,0,1800,900,0,0,0,68400,0,8100,0,0,0,0,54900,64800
0102LA 5022,78300,15300,18900,42300,26100,0,2700,0,0,0,900,0,0,7200,5400
0102UWB0020B,7200,1800,900,0,0,0,0,14400,0,0,0,0,26100,13500,3600
0102UWB5034,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,0
0102UWB5051,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0
0102UWB5052,0,4500,0,1800,0,0,0,0,0,0,0,0,0,0,0
0102UWB5054,0,12600,15300,1800,0,0,0,0,8100,0,0,900,0,35100,3600
