LAKE_ID,GROUP_A,GROUP_B,GROUP_C,GROUP_D,GROUP_A_D,GROUP_B_D,GROUP_C_D
0101DEL0025,610200,0,1413000,8766900,162900,1584000,10875600
0101HYDXXX1,3297600,116100,3484800,7285500,2017800,955800,5287500
0101UWB5006,0,0,0,55800,0,0,4500
0101UWB5007,0,0,6300,636300,0,0,136800
0101UWB5008,0,0,0,0,0,0,19800
0101UWB5014,0,0,0,32400,0,0,0
0101UWB5016,202500,0,0,0,0,0,0
0101UWB5017,121500,0,0,557100,0,0,100800
0101UWB5018,3600,0,0,72900,0,0,0
0101UWB5019,18000,0,0,36000,0,0,0
0101UWB5037,0,0,0,0,0,0,13500
0101UWB5038,0,0,0,0,4500,0,78300
0101UWB5150,0,120600,0,111600,0,471600,592200
0101UWB5302,0,0,0,86400,0,0,0
0101UWB5303,0,0,0,95400,0,0,0
0101UWB5306,0,0,0,90900,0,0,0
0102AKR0013,900,0,180000,3449700,0,0,2760300
0102ATT0020,324000,475200,3375000,11699100,59400,508500,1970100
0102ATT0020A,0,0,774000,3918600,59400,241200,329400
0102DAR5129,47700,0,54000,0,0,68400,381600
0102DAR5131,12600,0,1800,0,0,16200,25200
0102DIV0015,0,32400,23400,69300,0,8100,17100
0102FAU0021A,87300,13500,1090800,1157400,118800,146700,12600
0102GOU0016E,0,0,45000,988200,0,0,0
0102HAR5128,900,0,5400,63900,0,0,264600
0102JER5097,27000,0,8100,0,0,62100,22500
0102LA 5022,14400,0,0,354600,14400,7200,351900
0102UWB0020B,0,203400,0,41400,0,37800,16200
0102UWB5023,0,0,0,88200,0,0,90900
0102UWB5025,0,0,0,33300,0,0,0
0102UWB5033,0,0,0,126900,0,0,0
0102UWB5034,9000,0,0,71100,0,0,3600
0102UWB5042,0,0,0,36000,0,0,3600
0102UWB5043,0,0,0,0,0,0,150300
0102UWB5045,0,0,0,0,0,0,34200
0102UWB5046,0,0,0,0,0,0,48600
0102UWB5049,0,0,0,89100,0,0,36900
0102UWB5051,0,0,0,219600,0,0,270900
0102UWB5052,0,0,0,4500,0,0,0
0102UWB5054,900,0,32400,1575900,74700,26100,738900
0102UWB5056,0,0,28800,122400,0,0,48600
0102UWB5061,0,18900,294300,78300,0,37800,643500
0102UWB5065,11700,0,0,0,0,59400,61200
0102UWB5068,0,0,0,0,0,69300,54000
0102UWB5069,68400,0,0,0,0,72900,900
0102UWB5070,48600,0,0,0,0,72900,900
0102UWB5071,92700,0,15300,0,0,42300,0
0102UWB5072,97200,0,15300,0,0,51300,0
0102UWB5074,5400,122400,69300,58500,81000,320400,167400
0102UWB5076,724500,0,68400,178200,41400,221400,341100
0102UWB5077,48600,0,0,0,0,0,0
0102UWB5079,147600,0,0,0,0,5400,0
0102UWB5080,3600,0,0,0,24300,32400,0
0102UWB5082,169200,0,0,0,0,94500,11700
0102UWB5083,378900,0,68400,164700,1800,208800,324900
0102UWB5084,25200,0,4500,0,9000,8100,57600
0102UWB5085,21600,0,4500,0,9000,8100,44100
0102UWB5086,51300,0,0,0,0,0,0
0102UWB5087,150300,0,51300,231300,193500,371700,1219500
0102UWB5089,242100,0,81000,231300,194400,371700,1260900
0102UWB5091,77400,0,54000,0,73800,0,142200
0102UWB5092,3600,0,3600,0,2700,0,9900
0102UWB5094,18000,0,4500,0,0,0,2700
0102UWB5095,18000,0,6300,0,900,0,43200
0102UWB5096,10800,0,0,0,0,0,37800
0102UWB5098,39600,0,2700,0,0,300600,237600
0102UWB5099,900,0,0,0,0,22500,0
0102UWB5100,0,0,0,0,0,23400,0
0102UWB5107,0,0,330300,1236600,63900,0,304200
0102UWB5108,0,0,5400,0,0,0,0
0102UWB5109,395100,0,1204200,318600,84600,95400,2524500
0102UWB5125,0,0,0,0,0,0,18000
0102UWB5126,0,0,34200,212400,0,0,42300
0102UWB5127,19800,0,35100,124200,0,0,98100
0102UWB5132,27900,0,0,0,0,13500,0
0102UWB5133,42300,5400,0,0,244800,139500,0
0102UWB5134,0,0,1800,0,35100,7200,9900
0102UWB5141,0,0,44100,3600,0,0,146700
0102UWB5142,0,0,52200,172800,0,0,81000
0102UWB5143,0,0,5400,82800,0,0,25200
0102UWB5147,10800,0,0,0,10800,40500,180000
0102UWB5151,18000,0,0,1800,0,900,5400
0102UWB5152,0,0,0,6300,0,0,0
