LAKE_ID,Open Water,"Developed, Open Space","Developed, Low Intensity","Developed, Medium Intensity ","Developed, High Intensity",Barren Land,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrub/Scrub,Herbaceous,Hay/Pasture,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetlands
0101DEL0025,104400,10805400,21334500,20889000,10657800,36000,661500,0,116100,52200,62100,971100,184500,819900,98100
0101HYDXXX1,131400,3518100,3428100,2290500,1045800,87300,2342700,900,18900,462600,566100,1701900,4198500,3200400,561600
0101UWB5006,0,42300,13500,11700,5400,0,0,0,0,0,0,0,0,3600,0
0101UWB5007,47700,302400,41400,48600,19800,0,23400,0,0,900,0,104400,0,242100,44100
0101UWB5008,0,10800,2700,0,0,0,0,0,0,0,0,0,0,9000,0
0101UWB5014,8100,900,0,0,0,0,0,0,0,0,0,11700,0,13500,4500
0101UWB5016,6300,0,0,2700,0,122400,0,0,0,0,53100,18000,0,0,0
0101UWB5017,9900,14400,106200,139500,99000,148500,16200,0,0,28800,36900,21600,150300,0,8100
0101UWB5018,0,0,0,0,0,12600,0,0,0,1800,0,0,62100,0,0
0101UWB5019,0,0,0,0,0,18000,0,0,0,900,8100,0,27000,0,0
0101UWB5037,0,13500,3600,3600,0,0,0,0,0,0,0,0,0,0,0
0101UWB5038,0,78300,63000,215100,116100,2700,0,0,0,0,0,0,0,0,0
0101UWB5150,0,230400,60300,79200,67500,0,390600,0,31500,900,0,208800,107100,191700,3600
0101UWB5302,0,73800,1800,0,0,0,5400,0,0,0,0,0,0,5400,0
0101UWB5303,0,85500,12600,9900,11700,0,0,0,0,0,0,0,0,0,0
0101UWB5306,0,88200,8100,900,0,0,0,0,0,0,0,0,0,0,0
0102AKR0013,187200,321300,58500,4500,900,0,2788200,134100,714600,36900,13500,1469700,272700,556200,44100
0102ATT0020,765000,964800,156600,35100,7200,0,6498900,644400,2211300,148500,35100,1979100,4707000,921600,144000
0102ATT0020A,720900,263700,40500,7200,0,0,1998900,165600,628200,36000,3600,902700,785700,446400,44100
0102DAR5129,132300,135000,105300,56700,7200,4500,49500,0,0,0,1800,22500,135000,4500,12600
0102DAR5131,15300,900,14400,26100,4500,900,0,0,0,0,0,0,0,0,0
0102DIV0015,27900,0,0,0,4500,900,94500,0,7200,0,900,0,44100,0,0
0102FAU0021A,274500,114300,13500,3600,0,0,1446300,102600,259200,10800,7200,81000,439200,169200,15300
0102GOU0016E,0,42300,1800,0,0,0,517500,15300,117000,0,0,69300,1800,281700,103500
0102HAR5128,45000,37800,14400,900,0,8100,108000,0,44100,0,900,123300,900,0,0
0102JER5097,13500,23400,24300,11700,4500,0,43200,0,5400,0,0,10800,0,7200,0
0102LA 5022,138600,117000,148500,268200,207000,1800,6300,0,0,0,900,900,0,7200,7200
0102UWB0020B,7200,26100,4500,2700,900,0,0,21600,16200,0,0,8100,208800,18900,3600
0102UWB5023,58500,96300,27000,26100,33300,1800,0,0,0,0,3600,1800,0,0,0
0102UWB5025,0,30600,2700,0,0,0,0,0,0,0,0,0,0,0,0
0102UWB5033,54000,7200,9000,900,0,900,3600,0,0,0,900,81900,7200,14400,4500
0102UWB5034,15300,900,0,0,0,0,0,0,0,0,0,0,0,90000,900
0102UWB5040,0,90900,281700,67500,11700,0,0,0,0,0,0,0,0,0,0
0102UWB5042,0,38700,4500,1800,0,0,0,0,0,0,0,0,0,0,0
0102UWB5043,8100,14400,27900,8100,6300,0,0,0,1800,0,0,0,0,95400,0
0102UWB5045,0,1800,27900,9000,1800,0,0,0,0,0,0,0,0,0,0
0102UWB5046,0,4500,42300,13500,5400,0,0,0,0,0,0,0,0,0,0
