LAKE_ID,COMID,GNIS_ID,GNIS_NAME,WaterbodyAreaSQM,WaterbodyAreaSQKM,WatershedAreaSQM,WatershedSQKM
0703ONE0026,166766871,959369,Oneida Lake,207005000,207.005,3526700446,3526.700446
0705SEN0369,166766861,974079,Seneca Lake,174176000,174.176,1839947821,1839.947821
0705CAY0296,120052831,974076,Cayuga Lake,171202000,171.202,4093597372,4093.597372
1006GEO0367,120053727, , ,114700000,114.7,602560128.8,602.560129
1104GRE0127,22739135,973352,Great Sacandaga Lake,94929000,94.929,2576091063,2576.091063
0202CHA0122,15444647,946461,Chautauqua Lake,52570000,52.57,459790955,459.790955
0705KEU0388,166766862,969124,West Branch Keuka Lake,45649000,45.649,456492571.7,456.492572
0704CAN0286,21980955,945740,Canandaigua Lake,42269000,42.269,481406214,481.406214
0707SKA0193,22026848,970614,Skaneateles Lake,34902000,34.902,188469245.5,188.469245
0905CRA0309,15489330,976197,Cranberry Lake,28005000,28.005,375392527.3,375.392527
0706OWA0212,22026928,970442,Owasco Lake,26986000,26.986,522614285.8,522.614286
0903PIE0085,166766894,970513,Raquette Pond,25877000,25.877,1872218075,1872.218075
0801STI0493,166890766,966444,Stillwater Reservoir,25460000,25.46,463955620,463.95562
1003FIS0124,9523443, , ,21975000,21.975,196379163.2,196.379163
0903RAQ0293,15468377,962196,Raquette Lake,21375000,21.375,318208064.5,318.208064
1403PEP0358A,1748473,960168,Pepacton Reservoir,20676000,20.676,960904570.9,960.904571
1104IND0597,120052962,955237,Lewey Lake,20346000,20.346,506727310,506.72731
0906BLA0001,15483121,977214,Black Lake,18985000,18.985,1387403757,1387.403757
1404CAN0402A,2613174,945783,Cannonsville Reservoir,18793000,18.793,1179381482,1179.381482
1104SCH0374,22303791,964620,Schroon Lake,16829000,16.829,1077130546,1077.130546
0601OTS0404,8083243,959551,Otsego Lake,16621000,16.621,200505141.1,200.505141
1101SAR0027,120052919,964485,Saratoga Lake,15059000,15.059,560064225.6,560.064226
