COMID,LkAcres,OBJECTID,LAKE_FIN,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,ReachCode,FType,FCode,PERMIT_BAS,BASIN_NAME,M_BASIN_ID,M_BAS_NAME,POND_NUM,WATER,WATER_ALT,LAKE_ID,PWLID,FDATE,RESOLUTION,GNIS_ID,GNIS_NAME,AREASQKM,REACHCODE,FTYPE,FCODE,WsAcres,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,VALUE_TOTAL,VALUE_TOTAL_EXCLUDING_WATER
9508662,7.29009201,2130,HH-P5370,9508662,9/7/1999,3,,,0.03,2.0302E+12,390,39004,17-02,Long Island Sound,17,Atlantic Ocean-Long Island Sound,5370,Unnamed Water,,1702UWB5370,,9/7/1999,Medium,,,0.03,2.0302E+12,LakePond,39004,899.1953653,30,40.124533,26.42590286,10.90909091,3.462017435,0,10.75965131,0.498132005,7.596513076,0.099626401,0,0.124533001,0,0,0,4045,4015
9508660,20.13738159,2213,MB-26-P122C,9508660,9/7/1999,3,955170,Leeds Pond,0.082,2.0302E+12,390,39004,17-02,Long Island Sound,17,Atlantic Ocean-Long Island Sound,122C,Leeds Pond,,1702LEE0122C,,9/7/1999,Medium,955170,Leeds Pond,0.082,2.0302E+12,LakePond,39004,2306.255803,77,52.25286463,30.77296562,11.41969314,3.272480093,0,0.883666731,0.019421247,1.019615459,0.02913187,0.048553117,0.009710623,0,0.271897456,0,10375,10298
9508654,8.871009858,0,,,,0,,,0,,0,0,,,,,,,,,,9/7/1999,Medium,,,0.036,2.0302E+12,LakePond,39004,54.68876763,0,21.54471545,14.22764228,4.471544715,2.032520325,53.65853659,0,0,0,0,0,0,0,4.06504065,0,246,246
9508648,13.80924067,0,,,,0,,,0,,0,0,,,,,,,,,,9/7/1999,Medium,,,0.056,2.0302E+12,LakePond,39004,292.5432726,0,59.11854103,14.74164134,6.155015198,1.519756839,17.32522796,0.37993921,0,0,0,0,0,0,0.759878419,0,1316,1316
9508646,10.47850195,2211,MB-22-P119,9508646,9/7/1999,3,,,0.042,2.0302E+12,390,39004,17-02,Long Island Sound,17,Atlantic Ocean-Long Island Sound,119,Kings Point Pond,Unnamed Water,1702UWB0119,,9/7/1999,Medium,,,0.042,2.0302E+12,LakePond,39004,99.81080214,35,67.6056338,21.83098592,6.690140845,0,0,0.704225352,2.464788732,0.352112676,0,0.352112676,0,0,0,0,319,284
9508636,101.4741932,2374,LIS-62-P292,9508636,9/7/1999,3,958438,New Millpond,0.411,2.0302E+12,390,39004,17-02,Long Island Sound,17,Atlantic Ocean-Long Island Sound,292,New Mill Pond,Stump Pond,1702NEW0292,1702-0238,9/7/1999,Medium,958438,New Millpond,0.411,2.0302E+12,LakePond,39004,11999.01576,498,39.07570884,28.61150595,15.17356176,5.470561831,0.063589437,7.077130246,0.125308596,1.367172888,0.046756939,0.095384155,0.415201616,0,2.461285255,0.016832498,53966,53468
9508634,7.980951826,334,CSH-50-P159,9508634,9/7/1999,3,,,0.032,2.0302E+12,390,39004,17-02,Long Island Sound,17,Atlantic Ocean-Long Island Sound,159,Unnamed Water,,1702UWB0159,,9/7/1999,Medium,,,0.032,2.0302E+12,LakePond,39004,4841.063174,46,39.62264151,16.76484123,8.228255867,1.909802117,0.050621261,20.75011505,0.17947538,10.54302807,0.248504372,0.257708237,0.929590428,0.220892775,0.289921767,0.004601933,21776,21730
9523379,13.82383524,2328,C-15-P110-6-P114-5-7-P149-2-P156,9523379,10/11/1999,3,957957,Mountain Pond,0.056,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,156,Mountain Pond,,1003MOU0156,1003-0086,10/11/1999,Medium,957957,Mountain Pond,0.056,4.15041E+12,LakePond,39004,135.5709,60,0,0,0,0,0,81.27272727,12,6,0,0.727272727,0,0,0,0,610,550
9523375,360.1981923,210,C-15-P110-6-P114-9-1-P191,9523375,10/11/1999,3,955493,Little Clear Pond,1.459,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,191,Little Clear Pond,,1003LCL0191,1003-0107,10/11/1999,Medium,955493,Little Clear Pond,1.459,4.15041E+12,LakePond,39004,1452.337533,2160,1.737142857,0.068571429,0,0,0,60.38857143,29.21142857,4.822857143,0.228571429,0.777142857,0,0,2.514285714,0.251428571,6535,4375
9523373,21.19029412,213,C-15-P110-6-P114-9-1-P191-3-P194,9523373,10/11/1999,3,951550,Grass Pond,0.086,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,194,Grass Pond,,1003GRA0194,1003-0086,10/11/1999,Medium,951550,Grass Pond,0.086,4.15041E+12,LakePond,39004,63.12082741,90,0,0,0,0,0,76.80412371,22.16494845,0.515463918,0,0.515463918,0,0,0,0,284,194
9523367,13.04028592,309,C-P203,9523367,10/11/1999,3,956885,Meadow Pond,0.053,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,203,Meadow Pond,,1003MEA0203,1003-0086,10/11/1999,Medium,956885,Meadow Pond,0.053,4.15041E+12,LakePond,39004,274.9203715,96,0,0,0,0,0,80.89395267,10.60473269,3.505696757,0,0.438212095,0,0,3.856266433,0.701139351,1237,1141
9523363,10.70799867,216,C-15-P110-6-P114-9-P199-2-1-P201,9523363,10/11/1999,3,963529,Saint Germain Pond,0.043,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,201,St. Germain Pond,,1003STG0201,1003-0086,10/11/1999,Medium,963529,Saint Germain Pond,0.043,4.15041E+12,LakePond,39004,103.1264617,52,0,0,0,0,0,83.00970874,9.951456311,2.912621359,0,0,0,0,3.883495146,0.242718447,464,412
9523359,157.151197,132,C-15-54-P83,9523359,10/11/1999,3,970368,Moose Pond,0.636,4.15041E+12,390,39009,3-Oct,Saranac River,10,Lake Champlain River Basin,83,Moose Pond,,1003MOO0083,1003-0069,10/11/1999,Medium,970368,Moose Pond,0.636,4.15041E+12,LakePond,39009,4453.505361,797,0.01039447,0,0,0,0,51.57216361,34.94101138,8.876877501,0.02078894,0.083155761,0,0,4.37607193,0.119536407,20038,19241
9523353,17.74163607,131,C-15-54-8-P5136,9523353,10/11/1999,3,951551,Grass Pond,0.072,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,5136,Grass Pond,,1003GRA5136,1003-0069,10/11/1999,Medium,951551,Grass Pond,0.072,4.15041E+12,LakePond,39004,2128.759148,88,0,0,0,0,0,56.15384615,29.23076923,9.578503688,0.021074816,0.010537408,0,0,4.78398314,0.221285564,9578,9490
9523349,38.80326939,2508,SLC-32-20-96-P149-5-3-P153,9523349,10/11/1999,3,946725,Clamshell Pond,0.157,4.15031E+12,390,39004,2-Sep,St. Regis-Salmon-Chateaugay Rivers,9,St. Lawrence River Basin,153,Clamshell Pond,,0902CLA0153,0902-0133,10/11/1999,Medium,946725,Clamshell Pond,0.157,4.15031E+12,LakePond,39004,180.9076213,159,0,0,0,0,0,71.45038168,24.42748092,3.358778626,0,0.610687023,0,0,0,0.152671756,814,655
9523343,1073.265427,214,C-15-P110-6-P114-9-P198,9523343,10/11/1999,3,970012,"Clear, Lake",4.346,4.15041E+12,390,39009,3-Oct,Saranac River,10,Lake Champlain River Basin,198,Lake Clear Outlet,,1003CLE0198,1003-0109,10/11/1999,Medium,970012,"Clear, Lake",4.346,4.15041E+12,LakePond,39009,7193.904484,5127,2.275813971,0.220240062,0.051389348,0,0.058730683,38.79895753,33.60496274,10.93124839,3.483463642,0.877289579,0,0,9.485005322,0.212898726,32370,27243
9523341,22.68966469,2512,SLC-32-20-96-P149-5-P154-2-P156A-1A-P157,9523341,10/11/1999,3,951723,Green Pond,0.092,4.15031E+12,390,39004,2-Sep,St. Regis-Salmon-Chateaugay Rivers,9,St. Lawrence River Basin,157,Green Pond,,0902GRE0157,0902-0134,10/11/1999,Medium,951723,Green Pond,0.092,4.15031E+12,LakePond,39004,197.8016147,99,0,0,0,0,0,80.53097345,19.21618205,0,0,0.252844501,0,0,0,0,890,791
9523337,14.38761257,2586,SLC-32-P257A-5-P264-1-P265-1-P266,9523337,10/11/1999,3,962833,Roiley Pond,0.058,4.15031E+12,390,39004,2-Sep,St. Regis-Salmon-Chateaugay Rivers,9,St. Lawrence River Basin,266,Roiley Pond,,0902ROI0266,0902-0007,10/11/1999,Medium,962833,Roiley Pond,0.058,4.15031E+12,LakePond,39004,792.5193438,444,0,0,0,0,0,64.22165279,28.28315183,1.249199231,0.320307495,0.416399744,0,0,4.932735426,0.576553491,3566,3122
9523311,41.46949983,2505,SLC-32-20-95-P140-1-P141,9523311,10/11/1999,3,955582,Little Long Pond,0.168,4.15031E+12,390,39004,2-Sep,St. Regis-Salmon-Chateaugay Rivers,9,St. Lawrence River Basin,141,Little Long Pond,,0902LLO0141,0902-0004,10/11/1999,Medium,955582,Little Long Pond,0.168,4.15031E+12,LakePond,39004,202.9072572,227,0,0,0,0,0,82.50728863,13.8483965,2.186588921,0,1.457725948,0,0,0,0,913,686
