OBJECTID,REACHCODE,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,FID,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID_12,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode_1,FType,FCode,Shape_Leng,LkAcres,Perimeter,Lake_ID,Location_I,Long,Lat,Region,County,Type,LocType,Shape_Le_1,Shape_Area,ReachNew
1,W01100005002742,4.444444444000000,0,0,0,0,0,86.419753090000000,0.740740741000000,3.703703704000000,0,0,0,0,4.691358025000000,0,15960,15961,1,15960,15961,7709358,9/6/1999 0:00:00,3,958633,No Bottom Pond,0.019000000000000,0.000000000000000,01100005002742,390,39004,0.006372075246040,4.623931343630000,587.026272854000010,1601NOB1137,1601NOB1137_C,-73.459297199999995,42.349800100000003,4,Columbia,Lake,Centroid,0.006372073748950,0.000002045338509,W01100005002742
2,W01100005002744,2.424242424000000,14.54545455,6.060606061,1.212121212,0,0,40.000000000000000,2.424242424000000,1.212121212000000,0,10.90909091,15.75757576,0,4.242424242000000,1.212121212,15964,15965,1,15964,15965,7709374,9/6/1999 0:00:00,3, , ,0.017000000000000,0.000000000000000,01100005002744,390,39004,0.007271330417200,4.312888995320000,638.229291934000000,1601UWB6649,1601UWB6649_C,-73.441200300000006,42.344398499999997,4,Columbia,Lake,Centroid,0.007271330067480,0.000001907572787,W01100005002744
3,W01100005002761,2.516778523000000,5.201342282,2.013422819,0.503355705,0,0,87.080536910000006,0.000000000000000,1.845637584000000,0.167785235,0.167785235,0,0,0.503355705000000,0,15977,15978,1,15977,15978,7709412,9/6/1999 0:00:00,3, , ,0.021000000000000,0.000000000000000,01100005002761,390,39004,0.007915919786690,5.247467804580000,696.210646475999970,1601UWB6494,1601UWB6494_C,-73.502403299999997,42.291698500000003,4,Columbia,Lake,Centroid,0.007915920030020,0.000002319090144,W01100005002761
4,W01100005002841,0.408905043000000,1.590186279,0.318037256,0.090867787,0,0,74.148114489999998,1.090413448000000,14.584279870000000,0,0.045433894,5.406633348,0.86324398,1.453884598000000,0,15144,15145,0,15144,15145,7709572,9/6/1999 0:00:00,3, , ,0.028000000000000,0.000000000000000,01100005002841,390,39004,0.007419471665170,6.916134828130000,678.883606311999980, , ,0.000000000000000,0.000000000000000,0, , , ,0.007419471860670,0.000003044066679,W01100005002841
5,W01100005002865,11.819803750000000,2.854594112,0.624442462,0.178412132,0.044603033,0,64.719000890000004,2.007136485000000,5.709188225000000,0,0.223015165,2.274754683,5.307760928,3.434433541000000,0.802854594,15677,15678,3,15677,15678,7711060,9/6/1999 0:00:00,3,963068,Rudd Pond,0.230000000000000,0.000000000000000,01100005002865,390,39004,0.028254775857100,56.926600000000001,2822.796573270000000,1601RUD1134,1601RUD1134_C,-73.504898100000005,41.977199599999999,3,Dutchess,Lake,Centroid,0.028254776427900,0.000025035543822,W01100005002865
6,W01100005002878,1.378676471000000,8.501838235,3.630514706,0.229779412,0,0,51.654411760000002,0.000000000000000,3.492647059000000,0,0,12.27022059,5.698529412,12.867647059999999,0.275735294,15340,15341,0,15340,15341,7711094,9/6/1999 0:00:00,3, , ,0.015000000000000,0.000000000000000,01100005002878,390,39004,0.006038470827330,3.621201448770000,532.999384060000010, , ,0.000000000000000,0.000000000000000,0, , , ,0.006038470079820,0.000001591989044,W01100005002878
7,W01100005002902,17.703349280000001,6.858054226,1.382243488,0.106326422,0,0,28.335991490000001,7.549175970000000,3.827751196000000,0,1.01010101,14.67304625,8.506113769,6.592238171000000,3.455608719,16681,16682,1,16681,16682,7711120,7/25/2008 0:00:00,3,970232,Indian Lake,0.746000000000000,0.000000000000000,01100005002902,390,39004,0.048443369944200,184.370000000000000,4822.689377060000000,1601IND1131,1601IND1131_C,-73.496597300000005,41.916000400000001,3,Dutchess,Lake,Centroid,0.048443370705200,0.000081009057093,W01100005002902
8,W01100005002922,5.767599661000000,3.138252757,1.272264631,1.102629347,0.339270568,0,20.865139950000000,0.000000000000000,0.593723494000000,0,3.307888041,33.58778626,20.27141645,8.312128923000000,1.441899915,14543,14544,1,14543,14544,7711156,9/6/1999 0:00:00,3, , ,0.037000000000000,0.000000000000000,01100005002922,390,39004,0.007654556705090,9.242717036889999,745.675951662999980,1601UWB6474,1601UWB6474_C,-73.543296799999993,41.891201000000002,3,Dutchess,Lake,Centroid,0.007654555491300,0.000004059486479,W01100005002922
9,W01100005002924,3.041825095000000,11.78707224,3.041825095,0.760456274,0,0,6.083650190000000,0.000000000000000,2.281368821000000,0,0,65.77946768,2.661596958,2.281368821000000,2.281368821,14544,14545,1,14544,14545,7711158,9/6/1999 0:00:00,3, , ,0.008000000000000,0.000000000000000,01100005002924,390,39004,0.004205190769400,2.067120047120000,429.968256553999990,1601UWB1125A,1601UWB1125A_C,-73.554000900000005,41.889800999999999,3,Dutchess,Lake,Centroid,0.004205190702150,0.000000907888331,W01100005002924
10,W01100005002925,19.797421730000000,0.460405157,0.276243094,0,0,0,16.206261510000001,2.486187845000000,0.552486188000000,0,2.486187845,43.73848987,9.023941068,4.143646409000000,0.828729282,14548,14549,1,14548,14549,7711166,9/6/1999 0:00:00,3,962987,Round Pond,0.183000000000000,0.000000000000000,01100005002925,390,39004,0.019212128641600,45.117600000000003,1852.388819120000100,1601ROU1130,1601ROU1130_C,-73.511100799999994,41.881900799999997,3,Dutchess,Lake,Centroid,0.019212129044500,0.000019812992916,W01100005002925
11,W01100005002926,1.864801865000000,4.428904429,5.128205128,5.128205128,0.077700078,0,8.780108780000001,0.000000000000000,0.310800311000000,0,0,34.42113442,31.85703186,7.070707071000000,0.932400932,15606,15607,1,15606,15607,7711176,9/6/1999 0:00:00,3, , ,0.028000000000000,0.000000000000000,01100005002926,390,39004,0.007434083626170,6.989015929390000,696.837392852999980,1601UWB1129,1601UWB1129_C,-73.524696399999996,41.881099700000000,3,Dutchess,Lake,Centroid,0.007434083704150,0.000003069141142,W01100005002926
12,W01100005002928,4.525386313000000,6.181015453,0.55187638,0.110375276,0,0,39.735099339999998,0.000000000000000,1.214128035000000,0,6.622516556,24.06181015,1.214128035,14.348785870000000,1.434878587,14546,14547,1,14546,14547,7711162,9/6/1999 0:00:00,3, , ,0.046000000000000,0.000000000000000,01100005002928,390,39004,0.008201538660300,11.312300000000000,793.187241237999960,1601UWB6471,1601UWB6471_C,-73.576797499999998,41.886901899999998,3,Dutchess,Lake,Centroid,0.008201539475260,0.000004968283396,W01100005002928
