NHD_new,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,SUM,LDI_streams_no_water,LDI_streams,LkAcres,Perimeter,BASIN_NAME,M_BASIN_ID,M_BAS_NAME,PWL_ID,NAME,BASIN,Ws_Acres,LAKE_ID,Location_I,Long,Lat,Region,County,Type,LocType
W04120104001125,12600,1800,900,0,0,213300,2700,0,0,900,0,19800,0,16200,900,269100,7.366491228,7.068398365,27.6895,2615.52006,Tonawanda Creek,1,Lake Erie-Niagara River Basin, , , ,613.0740356,,,0,0,0,,,
W04120104001120,12600,1800,900,0,0,200700,2700,0,0,0,0,17100,0,16200,900,252900,7.377265918,7.059541321,12.0061,1180.976674,Tonawanda Creek,1,Lake Erie-Niagara River Basin, , , ,131.1721191,0102UWB5079,0102UWB5079_C,-78.5863037,42.9690018,9,Erie,Lake,Centroid
W04140101002569,29700,18000,41400,58500,13500,0,0,0,0,0,0,20700,0,11700,900,194400,6.634371585,5.773569959,9.473571109,924.4831607,Lake Ontario Central Section,3,Lake Ontario & Minor Tribs., , , ,204.0125885,0302UWB5253,0302UWB5253_C,-77.6071014,43.103199,8,Monroe,Lake,Centroid
W04140101000935,29700,37800,54000,40500,18000,900,10800,0,1800,0,0,39600,0,38700,0,271800,5.564572491,5.065798381,14.8479,1566.067994,Lake Ontario Central Section,3,Lake Ontario & Minor Tribs., , , ,235.8264618,,,0,0,0,,,
W04120103001009,21600,0,0,1800,2700,33300,1800,0,0,0,0,0,0,0,9000,70200,6.725925926,4.964116809,6.896932322,735.761223,Buffalo River,1,Lake Erie-Niagara River Basin, , , ,53.4530106,0103UWB5113,0103UWB5113_C,-78.6259995,42.9164009,9,Erie,Lake,Centroid
W04120101000807,27900,45000,137700,135900,94500,17100,57600,0,222300,0,0,18000,291600,13500,2700,1063800,4.909556907,4.807022937,21.6143,1288.988716,Lake Erie West End (Silver Creek to Pa. Line),1,Lake Erie-Niagara River Basin, , , ,1639.718262,0105UWB5737,0105UWB5737_C,-79.3220978,42.4637985,9,Chautauqua,Lake,Centroid
W02020004003026,27000,28800,24300,13500,7200,0,0,6300,15300,0,0,1800,0,6300,0,130500,5.654086957,4.691180077,7.334102866,791.5879634,Mohawk River Main Stem,12,Mohawk River Basin,1201-0101,Iroquios Lake,Mohawk River,373.8668823,1201UWB0525,1201UWB0525_C,-73.9123001,42.7999992,4,Schenectady,Lake,Centroid
W04130001001397,900,270900,153900,21600,0,0,72900,0,9000,0,2700,44100,9000,51300,189000,825300,4.517882096,4.514047013,14.1179,1631.778801,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,677.7096558,0301UWB0153D,0301UWB0153D_C,-77.6904984,43.2798996,8,Monroe,Lake,Centroid
W02020004003033,81000,363600,402300,295200,73800,95400,152100,19800,524700,8100,9000,207000,9900,216900,53100,2511900,4.554590892,4.439968152,13.4472,1255.189152,Mohawk River Main Stem,12,Mohawk River Basin, , , ,2909.009766,1201UWB5549,1201UWB5549_C,-73.6975021,42.7559013,4,Albany,Lake,Centroid
W04130001001235,384300,3391200,2528100,761400,140400,25200,1600200,6300,935100,27000,36900,727200,234900,1797300,744300,13339800,4.52954776,4.42786676,68.2561,6602.527808,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs.,0301-0018,Round Pond,Lake Ontario,13949.39063,0300ONT0000,0300ONT0000_DH,-77.646016,43.27434,0, ,Lake,Deep Hole
