"LOCATION_NAME","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE","SAMPLE_DATE","INFORMATION_TYPE","CHARACTERISTIC_NAME","RSLT_PROFILE_DEPTH","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT","WCFD_EQUIPMENT_TYPE","WCFD_EQUIPMENT_DESC"
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-08-16,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,6.083,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-07-05,"epilimnion sample","CHLOROPHYLL A",NA,0.9,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-07-05,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,0.873,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-06-20,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,9.849,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-08-16,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,4.944,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-07-05,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,2.888,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2019-09-09,"epilimnion sample","CHLOROPHYLL A",NA,3.206,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-06-20,"epilimnion sample","CHLOROPHYLL A",NA,9.6,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2019-07-01,"epilimnion sample","CHLOROPHYLL A",NA,5.526,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-08-16,"epilimnion sample","CHLOROPHYLL A",NA,6,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2019-07-15,"epilimnion sample","CHLOROPHYLL A",NA,5.012,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-06-20,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,6.313,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2019-06-18,"epilimnion sample","CHLOROPHYLL A",NA,6.562,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-07-09,"epilimnion sample","CHLOROPHYLL A",NA,3.2,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-07-09,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,6.287,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2019-08-12,"epilimnion sample","CHLOROPHYLL A",NA,4.508,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-07-25,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,1.839,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-07-25,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,5.946,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-07-25,"epilimnion sample","CHLOROPHYLL A",NA,4.3,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2019-07-29,"epilimnion sample","CHLOROPHYLL A",NA,3.546,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-10-03,"epilimnion sample","CHLOROPHYLL A",NA,5.6,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-07-09,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,3.796,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-08-22,"epilimnion sample","CHLOROPHYLL A",NA,4.6,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-08-22,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,8.312,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-09-04,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,3.409,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-09-04,"epilimnion sample","CHLOROPHYLL A",NA,4,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-08-29,"epilimnion sample","CHLOROPHYLL A",NA,5.9,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-09-11,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,6.037,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-09-18,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,6.367,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-09-18,"epilimnion sample","CHLOROPHYLL A",NA,3.5,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-09-18,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,8.998,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-09-04,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,6.515,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-08-29,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,7.439,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-07-19,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,4.882,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-07-19,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,11.227,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-07-19,"epilimnion sample","CHLOROPHYLL A",NA,14.3,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-08-01,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,2.824,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-08-01,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,14.596,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-08-01,"epilimnion sample","CHLOROPHYLL A",NA,9.8,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-10-03,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,8.221,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-08-29,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,7.212,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-10-03,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,8.577,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2020-08-03,"epilimnion sample","CHLOROPHYLL A",NA,4.96,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2020-08-16,"epilimnion sample","CHLOROPHYLL A",NA,4.252,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-09-11,"epilimnion sample","CHLOROPHYLL A",NA,5.3,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-09-11,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,6.257,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-09-27,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,7.551,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-09-27,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,7.474,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2019-08-26,"epilimnion sample","CHLOROPHYLL A",NA,6.936,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2021-08-09,"epilimnion sample","CHLOROPHYLL A",NA,11.158,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2019-09-24,"epilimnion sample","CHLOROPHYLL A",NA,6.484,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2020-06-08,"epilimnion sample","CHLOROPHYLL A",NA,7.472,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2020-06-22,"epilimnion sample","CHLOROPHYLL A",NA,2.242,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2020-07-08,"epilimnion sample","CHLOROPHYLL A",NA,6.186,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2022-06-28,"epilimnion sample","CHLOROPHYLL A",NA,3.588,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2022-07-25,"epilimnion sample","CHLOROPHYLL A",NA,3.682,"ug/L","KEMMERER",""
