"LAKE_HISTORY_ID","LAKE_WATERBODY_NAME","Year","Date_First_Listing","Date_Last_Listing","Number_of_Reports","List_of_Locations","LATITUDE","LONGITUDE"
"01-BVLK-1.0","BEAVER LAKE INLET",2012,"2012-08-07","2012-08-07",1,"01-BVLK-1.0",42.448431,-78.397214
"01-ELLI-3.2","ELLICOTT CREEK",2018,"2018-08-06","2018-08-06",1,"01-ELLI-3.2",43.02476,-78.822257
"01-ELLI-3.2","ELLICOTT CREEK",2021,"2021-09-29","2021-10-11",2,"01-ELLI-3.2",43.02476,-78.822257
"01-TEEN-0.3","EIGHTEENMILE CREEK",2021,"2021-08-29","2021-08-29",1,"01-TEEN-0.3",42.71565556,-78.97070236
"01-YUGA-0.3","CAYUGA CREEK",2018,"2018-08-06","2018-08-06",1,"01-YUGA-0.3",42.871253,-78.78346
"0101DEL0025","DELAWARE PARK LAKE",2016,"2016-09-20","2016-10-04",2,"0101DEL0025_C",42.932999,-78.8703
"0101HYDXXX1","HYDE PARK LAKE",2020,"2020-07-23","2020-09-22",3,"0101HYDXXX1_C",43.100662,-79.022324
"0101HYDXXX1","HYDE PARK LAKE",2019,"2019-10-21","2019-10-21",1,"0101HYDXXX1_C",43.100662,-79.022324
"0101HYDXXX1","HYDE PARK LAKE",2016,"2016-08-14","2016-08-18",2,"0101HYDXXX1_C",43.100662,-79.022324
"0101HYDXXX1","HYDE PARK LAKE",2018,"2018-07-08","2018-07-10",2,"0101HYDXXX1_C",43.100662,-79.022324
"0101HYDXXX1","HYDE PARK LAKE",2021,"2021-08-18","2021-10-07",2,"0101HYDXXX1_C",43.100662,-79.022324
"0101UWB5306","UNNAMED POND GRAND ISLAND",2015,"2015-06-27","2015-06-27",1,"0101UWB5306_C",42.965198,-78.951599
"0102FORXXX1","FOREST LAKE",2017,"2017-09-14","2017-09-14",1,"0102FORXXX1_C",43.064198,-78.826684
"0102LA 5022","LAKE LA SALLE",2014,"2014-09-30","2014-09-30",1,"0102LA 5022_C",43.004299,-78.781197
"0102UWB5186","WYOMOCO POND",2017,"2017-07-31","2017-07-31",1,"0102UWB5186_BEACH",42.766102,-78.293404
"0102UWB5186","WYOMOCO POND",2018,"2018-07-31","2018-07-31",1,"0102UWB5186_BEACH",42.766102,-78.293404
"0102UWB5214","UNNAMED WATER",2022,"2022-08-13","2022-09-17",3,"0102UWB5214_C",43.027,-78.415199
"0103PRIXXX1","UNNAMED POND WALES",2017,"2017-08-09","2017-08-09",1,"0103PRIXXX1_C",42.765822,-78.543686
"0103UWB5345","UNNAMED WATER",2019,"2019-10-21","2019-10-21",1,"0103UWB5345_C",42.8522,-78.858398
"0104BEA0133","BEAVER LAKE",2012,"2012-08-07","2012-08-28",3,"0104BEA0133_C",42.447201,-78.396599
"0104CLE0100","CLEAR LAKE",2020,"2020-09-29","2020-09-29",1,"0104CLE0100_C",42.553501,-78.852997
"0104GRE5309","GREEN LAKE",2020,"2020-09-30","2020-09-30",1,"0104GRE5309_C",42.757301,-78.751404
"0104JAV0152","JAVA LAKE",2016,"2016-07-18","2016-08-28",3,"0104JAV0152_C, 0104JAV0152_NNW",42.631302,-78.343903
"0104JAV0152","JAVA LAKE",2017,"2017-07-04","2017-10-11",8,"0104JAV0152_C, 0104JAV0152_NNW",42.631302,-78.343903
"0104JAV0152","JAVA LAKE",2018,"2018-07-16","2018-09-05",5,"0104JAV0152_C",42.631302,-78.343903
"0104JAV0152","JAVA LAKE",2014,"2014-08-11","2014-09-07",3,"0104JAV0152_C",42.631302,-78.343903
"0104JAV0152","JAVA LAKE",2015,"2015-07-12","2015-08-23",5,"0104JAV0152_C, 0104JAV0152_NNW",42.631302,-78.343903
"0104JAV0152","JAVA LAKE",2022,"2022-07-11","2022-08-24",3,"0104JAV0152_C",42.631302,-78.343903
"0104JAV0152","JAVA LAKE",2012,"2012-07-08","2012-09-25",8,"0104JAV0152_C",42.631302,-78.343903
"0104JAV0152","JAVA LAKE",2020,"2020-07-13","2020-09-20",6,"0104JAV0152_C",42.631302,-78.343903
"0104JAV0152","JAVA LAKE",2021,"2021-06-29","2021-08-30",7,"0104JAV0152_C",42.631302,-78.343903
"0104JAV0152","JAVA LAKE",2019,"2019-07-14","2019-09-15",7,"0104JAV0152_C",42.631302,-78.343903
"0104LIM0130","LIME LAKE",2017,"2017-09-18","2017-09-18",1,"0104LIM0130_C",42.427399,-78.479202
"0104LIM0130","LIME LAKE",2014,"2014-06-29","2014-06-29",1,"0104LIM0130_C",42.427399,-78.479202
"0104LIM0130","LIME LAKE",2012,"2012-07-06","2012-08-19",4,"0104LIM0130_C",42.427399,-78.479202
"0104LIM0130","LIME LAKE",2013,"2013-07-04","2013-08-29",2,"0104LIM0130_C",42.427399,-78.479202
