"","LAKE_ID","CHLOROPHYLL A_OW_T","DEPTH, SECCHI DISK DEPTH_SD_NA","NITROGEN, NITRATE-NITRITE_OW_T","NPratio","PH_OW_NA","PHOSPHORUS_OW_T","SPECIFIC CONDUCTANCE_OW_NA","TEMPERATURE, WATER_OW_NA","TRUE COLOR_OW_T"
"1","0202CHA0122","x","x","x","x","x","x","x","x","x"
"2","0202FIN0153","x","x","x","x","x","x","x","x","x"
"3","0302SOD0096","x","x","x","x","x","x","x","x","x"
"4","0402CON0067","x","","","","x","","x","x","x"
"5","0403SIL0115","x","x","x","x","x","x","x","x","x"
"6","0601CAN0392","x","","","","x","","x","x","x"
"7","0602BRA0154","x","x","x","x","x","x","x","x","x"
"8","0602CRO0073","x","x","x","x","x","x","x","x","x"
"9","0602EAR0146","x","x","x","x","x","x","x","x","x"
"10","0602EAT0163","x","x","x","x","x","x","x","x","x"
"11","0602HAT0155","x","x","x","x","x","x","x","x","x"
"12","0602LEB0153","x","x","x","x","x","x","x","x","x"
"13","0602MEL0039","x","x","x","x","x","x","x","x","x"
"14","0602MOR0152","x","x","x","x","x","x","x","x","x"
"15","0602PET0078","x","x","x","x","x","x","x","x","x"
"16","0703CAZ0153","x","x","x","x","x","x","x","x","x"
"17","0703DER0139A","x","x","x","x","x","x","x","x","x"
"18","0703TUS0153A","x","x","x","x","x","x","x","x","x"
"19","0705COM0333","x","x","x","x","x","x","x","x","x"
"20","0705DUC0222","x","x","x","x","x","x","x","x","x"
"21","0706OWA0212","x","x","x","","x","","x","x","x"
"22","0801SEC0782B","x","x","x","x","x","x","x","x","x"
"23","0906BLA0001","x","x","x","x","x","x","x","x","x"
"24","0906BON0024","x","x","x","x","x","x","x","x","x"
"25","0906BUT0054","x","x","x","x","x","x","x","x","x"
"26","1005GLE0441","x","x","x","x","x","x","x","x","x"
"27","1102BAB1109","x","x","x","x","x","x","x","x","x"
"28","1104GOO0672A","x","x","x","x","x","x","x","x","x"
"29","1104SAC0314","x","x","x","x","x","x","x","x","x"
"30","1104SCH0374","x","x","x","x","x","x","x","x","x"
"31","1302CAR0062A","x","x","x","x","x","x","x","x","x"
"32","1302WAC0117","x","x","x","x","x","x","x","x","x"
"33","1308ROB0902","x","x","x","x","x","x","x","x","x"
"34","1310NAS0034","","","","","x","","x","x",""
"35","1310QUE0057","x","x","x","x","x","x","x","x","x"
"36","1401ANA0251","x","x","x","x","x","x","x","x","x"
"37","1402WOL0037","x","x","x","x","x","x","x","x","x"
"38","1404OQU0383","x","x","x","x","x","x","x","x","x"
"39","1501LUC0982B","x","x","x","x","x","x","x","x","x"
"40","1701LFR0662","x","x","x","x","x","x","x","x","x"
