"LAKE_HISTORY_ID","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE"
"0100ERI5000",-79.3081,42.607368
"0101DEL0025",-78.8703,42.932999
"0101HYDXXX1",-79.022324,43.100662
"0101JOEXXX1",-79.0446,43.213503
"0101OPP5774",-78.903702,43.093601
"0101PROXXX1",-78.9932,43.0254
"0101RES5772",-78.997597,43.1483
"0101UWB0024",-78.875099,42.9347
"0101UWB0041",-78.708603,42.912998
"0101UWB5001",-78.960701,43.127998
"0101UWB5002",-79.030602,43.1423
"0101UWB5004",-78.959099,43.144299
"0101UWB5006",-78.910004,43.031601
"0101UWB5007",-78.911499,43.029098
"0101UWB5008",-78.906502,43.0256
"0101UWB5010",-78.972397,43.028198
"0101UWB5012",-78.935501,43.0537
"0101UWB5013",-78.934898,43.044498
"0101UWB5014",-78.931,43.029098
"0101UWB5016",-78.988197,43.1007
"0101UWB5017",-78.985702,43.103199
"0101UWB5018",-78.988502,43.103199
"0101UWB5019",-78.991302,43.103001
"0101UWB5020",-79.002098,43.094101
"0101UWB5037",-78.863197,42.9268
"0101UWB5038",-78.862099,42.923599
"0101UWB5150",-78.873398,43.1436
"0101UWB5300",-78.897499,42.982498
"0101UWB5301",-78.8965,42.979999
"0101UWB5302",-78.944,42.966598
"0101UWB5303",-78.956802,42.9646
"0101UWB5306",-78.951599,42.965198
"0101UWB5307",-78.863098,43.1483
"0101UWB5762",-78.930298,43.1082
"0101UWB5763",-78.924599,43.1049
"0102AKR0013",-78.357597,42.8675
"0102ATT0020",-78.258202,42.830898
"0102ATT0020A",-78.226601,42.7859
"0102BENXXX1",-78.4216,42.8545
"0102BRO5776",-78.726898,43.041801
"0102DAN5777",-78.704598,43.062
"0102DAR5129",-78.388,42.931801
"0102DAR5131",-78.383499,42.929699
"0102DIV0015",-78.399399,43.0411
"0102FAU0021A",-78.287399,42.645199
"0102FORXXX1",-78.826684,43.064198
"0102GOU0016E",-78.208,42.8064
"0102HAR5128",-78.430702,42.905201
"0102HUB5296",-78.232696,42.804199
"0102JER5097",-78.601097,42.951099
"0102LA 5022",-78.781197,43.004299
"0102STE0018",-78.253899,42.8367
"0102UWB0007",-78.432198,42.884399
"0102UWB0010",-78.597099,42.978199
"0102UWB0016D",-78.163803,42.877201
"0102UWB0017",-78.264397,42.8661
"0102UWB0019",-78.259003,42.834999
"0102UWB0020B",-78.267098,42.816898
"0102UWB0189B",-78.7145,43.153801
"0102UWB5023",-78.775703,43.004101
"0102UWB5025",-78.771896,42.989201
"0102UWB5032",-78.825798,43.0686
"0102UWB5033",-78.821602,43.088798
"0102UWB5034",-78.756599,43.120701
"0102UWB5040",-78.770104,42.961399
"0102UWB5041",-78.780899,42.9687
"0102UWB5042",-78.774399,42.986599
"0102UWB5043",-78.745598,43.039001
"0102UWB5045",-78.735199,43.019798
"0102UWB5046",-78.734001,43.0201
"0102UWB5047",-78.722198,43.007801
"0102UWB5048",-78.721603,43.005299
"0102UWB5049",-78.719101,43.047401
"0102UWB5050",-78.717201,43.045898
"0102UWB5051",-78.714996,43.045799
"0102UWB5052",-78.711197,43.044601
"0102UWB5053",-78.698898,43.045399
"0102UWB5054",-78.692902,43.021599
"0102UWB5056",-78.698998,43.002499
"0102UWB5060",-78.653397,43.0676
"0102UWB5061",-78.638298,43.029301
"0102UWB5062",-78.666199,43.088901
"0102UWB5064",-78.509903,42.925201
"0102UWB5065",-78.505501,42.927502
"0102UWB5066",-78.501,42.931599
"0102UWB5067",-78.505997,42.932899
"0102UWB5068",-78.536102,42.942699
"0102UWB5069",-78.570297,42.952499
"0102UWB5070",-78.573998,42.952
"0102UWB5071",-78.569801,42.956299
"0102UWB5072",-78.565201,42.957901
"0102UWB5073",-78.548599,42.989399
"0102UWB5074",-78.527298,42.997799
"0102UWB5076",-78.595596,42.974899
"0102UWB5077",-78.580803,42.970501
"0102UWB5078",-78.5905,42.970699
"0102UWB5079",-78.586304,42.969002
"0102UWB5080",-78.599098,42.970901
"0102UWB5081",-78.580299,42.9636
"0102UWB5082",-78.584503,42.961399
"0102UWB5083",-78.585503,42.962601
"0102UWB5084",-78.605102,42.971001
"0102UWB5085",-78.606102,42.9688
"0102UWB5086",-78.6091,42.967499
"0102UWB5087",-78.611298,42.963501
"0102UWB5089",-78.614601,42.9645
"0102UWB5091",-78.621902,42.965801
"0102UWB5092",-78.615402,42.958801
"0102UWB5094",-78.617599,42.9576
