"","LAKE_ID","CHLOROPHYLL A_OW_T","DEPTH, SECCHI DISK DEPTH_SD_NA","NITROGEN, NITRATE-NITRITE_OW_T","NPratio","PH_OW_NA","PHOSPHORUS_OW_T","SPECIFIC CONDUCTANCE_OW_NA","TEMPERATURE, WATER_OW_NA","TRUE COLOR_OW_T"
"1","0202CHA0122","0","0","0","-0.0059307376577012","0","0.000742857142857143","0.615384615384615","0","0.0952380952380952"
"2","0202FIN0153","0","0.0096875","-0.000150904761904762","-0.00827603768780239","0.00891812865497074","0","0","0","0.222222222222222"
"3","0302SOD0096","-0.142834677419355","0.0102083333333333","-0.000111111111111111","0","-0.00666666666666712","0","0","0.194444444444444","0"
"4","0402CON0067","0.12759375","","","","0","","1.76296296296296","0.0344827586206897","0"
"5","0403SIL0115","-0.261904761904762","0.035","0.000103448275862069","0.00762695775984812","-0.00749999999999997","-0.000376888888888889","0","0.1","0"
"6","0601CAN0392","-0.0958","","","","-0.0183333333333333","","0","0.0645161290322581","-0.04"
"7","0602BRA0154","-0.0446460606060606","0.0581818181818182","0","0","-0.03","0","0","0.0465856481481482","0.04"
"8","0602CRO0073","0","-0.0303571428571428","-0.000192307692307692","-0.0238095238095238","-0.0139130434782609","0.0000633971291866029","0.378260869565217","0.148148148148148","0.131884057971014"
"9","0602EAR0146","0","0","-0.0156253555555556","-1.29499946734846","-0.0228571428571429","0","-1.86515151515151","0.0526315789473684","0.125"
"10","0602EAT0163","-0.0620089285714286","0.0357142857142857","0","0","-0.0266666666666664","0.0000363636363636364","-0.5","0.0625","0.0769230769230769"
"11","0602HAT0155","-0.0502857142857143","0.0284552845528455","0","0","-0.0283045977011494","-0.00005","0.747350543478261","0.109903381642512","0.0357142857142857"
"12","0602LEB0153","-0.154545454545455","0.0672077922077922","0","0","-0.0338461538461538","-0.0001","0","-0.0714285714285714","0.1"
"13","0602MEL0039","-0.116666666666667","0.0111111111111111","0","0","0.0076923076923077","0","0","0.0909090909090909","0.25"
"14","0602MOR0152","-0.127279411764706","0.04","-0.000455181818181818","-0.0343059177708155","-0.029375","0","-0.833333333333333","0.0294117647058824","0.133333333333333"
"15","0602PET0078","-0.0116666666666667","-0.046875","-0.000166666666666667","-0.0196443341604632","0","0","0.507416666666667","0.0666666666666667","0.1"
"16","0703CAZ0153","-0.0207692307692308","-0.035","0","-0.0126014077785731","-0.0264","0.000166666666666667","-0.358845577211395","0.0588235294117647","0.0833333333333333"
"17","0703DER0139A","-0.140344827586207","0.0838585607940447","0","0","-0.0252786377708978","0","-0.857142857142857","0.136363636363636","0.115384615384615"
"18","0703TUS0153A","-0.0565827445652174","0.025","-0.000119047619047619","-0.0152298009367682","-0.0192307692307692","0","-0.966666666666667","0.0526315789473684","0.153846153846154"
"19","0705COM0333","0","-0.0305263157894737","0","-0.0625340404899174","-0.019090909090909","0.000295238095238095","-0.790454545454546","0.16","0.153846153846154"
"20","0705DUC0222","-0.326864583333333","0","0","0","-0.0126666666666666","0","0","0.0476190476190476","0"
"21","0706OWA0212","0.0437484035759898","0","-0.006","","-0.0249999999999995","","-0.707142857142858","0.0769230769230769","0"
"22","0801SEC0782B","-0.0166666666666666","0","-0.0018859133126935","-0.205567030518638","0","0","0.433333333333332","0.1","0.238095238095238"
"23","0906BLA0001","-0.255444444444445","0.00697826086956521","0","-0.00434368222763384","0","0.000415789473684211","1.425","0.171328671328673","0.307692307692308"
"24","0906BON0024","-0.00731666666666666","0","-0.0000300000000000001","0","-0.02","0","0","0.1","0"
"25","0906BUT0054","-0.155954248366013","0","-0.000158947368421053","-0.00803031278662161","0","-0.0000902380952380952","0.923076923076923","0","0"
"26","1005GLE0441","-0.0215959252971137","-0.0220588235294118","-0.0001875","-0.0252525252525253","-0.0222401433691756","-0.0000320000000000001","4.584","0.1","0"
"27","1102BAB1109","-0.0470307692307692","0","0","0","0","0","0.185714285714285","0.15625","0.0714285714285714"
"28","1104GOO0672A","-0.0600000000000001","0","-0.00055","-0.059894359554801","0","0","-0.264642857142857","0.118347338935574","0"
"29","1104SAC0314","-0.0490833333333333","0","-0.000294117647058824","-0.0852713178294574","0","0.0000672619047619048","0.3","0.0645161290322581","0.125"
"30","1104SCH0374","-0.091304347826087","0","-0.0006823","-0.153596639359969","0","0.000075","0.387499999999999","0.0625","0.176470588235294"
"31","1302CAR0062A","0","0.00350985221674877","-0.00022814039408867","-0.0173422334984495","0","0.000316896551724138","5.28787878787879","0","0"
"32","1302WAC0117","0","-0.00925925925925926","-0.000227272727272727","-0.0200856204550786","0.0124166666666665","0.0002","2.234375","0.0861904761904763","0"
"33","1308ROB0902","-0.255592592592593","0.0286747491638796","0","0","-0.0175862068965517","0","2.632","0.130434782608696","-0.2"
"34","1310NAS0034","","","","","0.0114285714285714","","2.08666666666667","0.0685736677115987",""
"35","1310QUE0057","-0.0304545454545455","0.0137513904338153","0","0","-0.034","-0.0000333333333333337","-0.586853448275862","0","0.111111111111111"
"36","1401ANA0251","-0.020171875","-0.0155365853658537","0","0","0","-0.0000675","1.08142857142857","0.0357142857142857","0.0909090909090909"
"37","1402WOL0037","-0.261818181818182","0","0","0","0.0313025210084033","0","1.33333333333333","0","0"
"38","1404OQU0383","-0.0282466666666667","0.1","0","0","0","-0.0000607142857142857","1.08333333333333","0","0"
"39","1501LUC0982B","0.365217391304348","-0.0111237373737374","-0.0060825480769231","-0.114266304347826","0","0","3.48939205955335","0.15625","0"
"40","1701LFR0662","-0.19375","0","0","0","0.0133333333333333","0","0","0.0328703703703708","0"
